contentid;pagetitle;tmplvarid;value
7532084;NV1-F-2N-PK;126;2F-V2B-PK-SS
7532085;NV1-F-2R-PK;6;assets/images/NV_F_s100.jpg
7532085;NV1-F-2R-PK;16;"RT 1/8"""
7532085;NV1-F-2R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532085;NV1-F-2R-PK;18;"{""18"":""0,09"",""25"":""2""}"
7532085;NV1-F-2R-PK;21;"RT 1/8"" внутр."
7532085;NV1-F-2R-PK;38;V15A-F-2R-PK-BH
7532085;NV1-F-2R-PK;39;V15A-F-2R-PK
7532085;NV1-F-2R-PK;71;"от -54&#176;C до 232&#176;C"
7532085;NV1-F-2R-PK;82;PEEK
7532085;NV1-F-2R-PK;83;V
7532085;NV1-F-2R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532085;NV1-F-2R-PK;91;SS-OVF2RT-PK
7532085;NV1-F-2R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532085;NV1-F-2R-PK;96;V-образная (стандарт)
7532085;NV1-F-2R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532085;NV1-F-2R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532085;NV1-F-2R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532085;NV1-F-2R-PK;123;2KF-V2B-PK-SS
7532085;NV1-F-2R-PK;126;2KF-V2B-PK-SS
7532086;NV2-F-2N-PK;6;assets/images/NV_F_s100.jpg
7532086;NV2-F-2N-PK;16;"NPT 1/8"""
7532086;NV2-F-2N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532086;NV2-F-2N-PK;18;"{""18"":""0,37"",""25"":""4,3""}"
7532086;NV2-F-2N-PK;21;"NPT 1/8"" внутр."
7532086;NV2-F-2N-PK;38;V15B-F-2N-PK-BH
7532086;NV2-F-2N-PK;39;V15B-F-2N-PK
7532086;NV2-F-2N-PK;71;"от -54&#176;C до 232&#176;C"
7532086;NV2-F-2N-PK;82;PEEK
7532086;NV2-F-2N-PK;83;V
7532086;NV2-F-2N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532086;NV2-F-2N-PK;91;SS-1VF2-PK
7532086;NV2-F-2N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532086;NV2-F-2N-PK;96;V-образная (стандарт)
7532086;NV2-F-2N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532086;NV2-F-2N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532086;NV2-F-2N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532086;NV2-F-2N-PK;123;2F-V4B-PK-SS
7532086;NV2-F-2N-PK;126;2F-V4B-PK-SS
7532087;NV2-F-2R-PK;6;assets/images/NV_F_s100.jpg
7532087;NV2-F-2R-PK;16;"RT 1/8"""
7532087;NV2-F-2R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532087;NV2-F-2R-PK;18;"{""18"":""0,37"",""25"":""4,3""}"
7532087;NV2-F-2R-PK;21;"RT 1/8"" внутр."
7532087;NV2-F-2R-PK;38;V15B-F-2R-PK-BH
7532087;NV2-F-2R-PK;39;V15B-F-2R-PK
7532087;NV2-F-2R-PK;71;"от -54&#176;C до 232&#176;C"
7532087;NV2-F-2R-PK;82;PEEK
7532087;NV2-F-2R-PK;83;V
7532087;NV2-F-2R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532087;NV2-F-2R-PK;91;SS-1VF2RT-PK
7532087;NV2-F-2R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532087;NV2-F-2R-PK;96;V-образная (стандарт)
7532087;NV2-F-2R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532087;NV2-F-2R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532087;NV2-F-2R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532087;NV2-F-2R-PK;123;2KF-V4B-PK-SS
7532087;NV2-F-2R-PK;126;2KF-V4B-PK-SS
7532088;NV3-F-4N-PK;6;assets/images/NV_F_s100.jpg
7532088;NV3-F-4N-PK;16;"NPT 1/4"""
7532088;NV3-F-4N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532088;NV3-F-4N-PK;18;"{""18"":""0,73"",""25"":""6,3""}"
7532088;NV3-F-4N-PK;21;"NPT 1/4"" внутр."
7532088;NV3-F-4N-PK;38;V15C-F-4N-PK-BH
7532088;NV3-F-4N-PK;39;V15C-F-4N-PK
7532088;NV3-F-4N-PK;71;"от -54&#176;C до 232&#176;C"
7532088;NV3-F-4N-PK;82;PEEK
7532088;NV3-F-4N-PK;83;V
7532088;NV3-F-4N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532088;NV3-F-4N-PK;91;SS-1VF4-PK
7532088;NV3-F-4N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532088;NV3-F-4N-PK;96;V-образная (стандарт)
7532088;NV3-F-4N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532088;NV3-F-4N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532088;NV3-F-4N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532088;NV3-F-4N-PK;123;4F-V6B-PK-SS
7532088;NV3-F-4N-PK;126;4F-V6B-PK-SS
7532089;NV3-F-4R-PK;6;assets/images/NV_F_s100.jpg
7532089;NV3-F-4R-PK;16;"RT 1/4"""
7532089;NV3-F-4R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532089;NV3-F-4R-PK;18;"{""18"":""0,73"",""25"":""6,3""}"
7532089;NV3-F-4R-PK;21;"RT 1/4"" внутр."
7532089;NV3-F-4R-PK;38;V15C-F-4R-PK-BH
7532089;NV3-F-4R-PK;39;V15C-F-4R-PK
7532089;NV3-F-4R-PK;71;"от -54&#176;C до 232&#176;C"
7532089;NV3-F-4R-PK;82;PEEK
7532089;NV3-F-4R-PK;83;V
7532089;NV3-F-4R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532089;NV3-F-4R-PK;91;SS-1VF4RT-PK
7532089;NV3-F-4R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532089;NV3-F-4R-PK;96;V-образная (стандарт)
7532089;NV3-F-4R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532089;NV3-F-4R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532089;NV3-F-4R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532089;NV3-F-4R-PK;123;4KF-V6B-PK-SS
7532089;NV3-F-4R-PK;126;4KF-V6B-PK-SS
7532090;NV4-F-6N-PK;6;assets/images/NV_F_s100.jpg
7532090;NV4-F-6N-PK;16;"NPT 3/8"""
7532090;NV4-F-6N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532090;NV4-F-6N-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532090;NV4-F-6N-PK;21;"NPT 3/8"" внутр."
7532090;NV4-F-6N-PK;38;V15D-F-6N-PK-BH
7532090;NV4-F-6N-PK;39;V15D-F-6N-PK
7532090;NV4-F-6N-PK;71;"от -54&#176;C до 232&#176;C"
7532090;NV4-F-6N-PK;82;PEEK
7532090;NV4-F-6N-PK;83;V
7532090;NV4-F-6N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532090;NV4-F-6N-PK;91;SS-18VF6-PK
7532090;NV4-F-6N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532090;NV4-F-6N-PK;96;V-образная (стандарт)
7532090;NV4-F-6N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532090;NV4-F-6N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532090;NV4-F-6N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532090;NV4-F-6N-PK;123;6F-V8B-PK-SS
7532090;NV4-F-6N-PK;126;6F-V8B-PK-SS
7532091;NV4-F-6R-PK;6;assets/images/NV_F_s100.jpg
7532091;NV4-F-6R-PK;16;"RT 3/8"""
7532091;NV4-F-6R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532091;NV4-F-6R-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532091;NV4-F-6R-PK;21;"RT 3/8"" внутр."
7532091;NV4-F-6R-PK;38;V15D-F-6R-PK-BH
7532091;NV4-F-6R-PK;39;V15D-F-6R-PK
7532091;NV4-F-6R-PK;71;"от -54&#176;C до 232&#176;C"
7532091;NV4-F-6R-PK;82;PEEK
7532091;NV4-F-6R-PK;83;V
7532091;NV4-F-6R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532091;NV4-F-6R-PK;91;SS-18VF6RT-PK
7532091;NV4-F-6R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532091;NV4-F-6R-PK;96;V-образная (стандарт)
7532091;NV4-F-6R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532091;NV4-F-6R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532091;NV4-F-6R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532091;NV4-F-6R-PK;123;6KF-V8B-PK-SS
7532091;NV4-F-6R-PK;126;6KF-V8B-PK-SS
7532092;NV4-F-8N-PK;6;assets/images/NV_F_s100.jpg
7532092;NV4-F-8N-PK;16;"NPT 1/2"""
7532092;NV4-F-8N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532092;NV4-F-8N-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532092;NV4-F-8N-PK;21;"NPT 1/2"" внутр."
7532092;NV4-F-8N-PK;38;V15D-F-8N-PK-BH
7532092;NV4-F-8N-PK;39;V15D-F-8N-PK
7532092;NV4-F-8N-PK;71;"от -54&#176;C до 232&#176;C"
7532092;NV4-F-8N-PK;82;PEEK
7532092;NV4-F-8N-PK;83;V
7532092;NV4-F-8N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532092;NV4-F-8N-PK;91;SS-18VF8-PK
7532092;NV4-F-8N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532092;NV4-F-8N-PK;96;V-образная (стандарт)
7532092;NV4-F-8N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532092;NV4-F-8N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532092;NV4-F-8N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532092;NV4-F-8N-PK;123;8F-V8B-PK-SS
7532092;NV4-F-8N-PK;126;8F-V8B-PK-SS
7532093;NV4-F-8R-PK;6;assets/images/NV_F_s100.jpg
7532093;NV4-F-8R-PK;16;"RT 1/2"""
7532093;NV4-F-8R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532093;NV4-F-8R-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532093;NV4-F-8R-PK;21;"RT 1/2"" внутр."
7532093;NV4-F-8R-PK;38;V15D-F-8R-PK-BH
7532093;NV4-F-8R-PK;39;V15D-F-8R-PK
7532093;NV4-F-8R-PK;71;"от -54&#176;C до 232&#176;C"
7532093;NV4-F-8R-PK;82;PEEK
7532093;NV4-F-8R-PK;83;V
7532093;NV4-F-8R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532093;NV4-F-8R-PK;91;SS-18VF8RT-PK
7532093;NV4-F-8R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532093;NV4-F-8R-PK;96;V-образная (стандарт)
7532093;NV4-F-8R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532093;NV4-F-8R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532093;NV4-F-8R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532093;NV4-F-8R-PK;123;8KF-V8B-PK-SS
7532093;NV4-F-8R-PK;126;8KF-V8B-PK-SS
7532094;NV2-F-2G-PK;6;assets/images/NV_F_s100.jpg
7532094;NV2-F-2G-PK;16;"G 1/8"""
7532094;NV2-F-2G-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532094;NV2-F-2G-PK;18;"{""18"":""0,37"",""25"":""4,3""}"
7532094;NV2-F-2G-PK;21;"G 1/8"" внутр."
7532094;NV2-F-2G-PK;38;V15B-F-2G-PK-BH
7532094;NV2-F-2G-PK;39;V15B-F-2G-PK
7532094;NV2-F-2G-PK;71;"от -54&#176;C до 232&#176;C"
7532094;NV2-F-2G-PK;82;PEEK
7532094;NV2-F-2G-PK;83;V
7532094;NV2-F-2G-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532094;NV2-F-2G-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532094;NV2-F-2G-PK;96;V-образная (стандарт)
7532094;NV2-F-2G-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532094;NV2-F-2G-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532094;NV2-F-2G-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532095;NV3-F-4G-PK;6;assets/images/NV_F_s100.jpg
7532095;NV3-F-4G-PK;16;"G 1/4"""
7532095;NV3-F-4G-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532095;NV3-F-4G-PK;18;"{""18"":""0,73"",""25"":""6,3""}"
7532095;NV3-F-4G-PK;21;"G 1/4"" внутр."
7532095;NV3-F-4G-PK;38;V15C-F-4G-PK-BH
7532095;NV3-F-4G-PK;39;V15C-F-4G-PK
7532095;NV3-F-4G-PK;71;"от -54&#176;C до 232&#176;C"
7532095;NV3-F-4G-PK;82;PEEK
7532095;NV3-F-4G-PK;83;V
7532095;NV3-F-4G-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532095;NV3-F-4G-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532095;NV3-F-4G-PK;96;V-образная (стандарт)
7532095;NV3-F-4G-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532095;NV3-F-4G-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532095;NV3-F-4G-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532096;NV4-F-8G-PK;6;assets/images/NV_F_s100.jpg
7532096;NV4-F-8G-PK;16;"G 1/2"""
7532096;NV4-F-8G-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532096;NV4-F-8G-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532096;NV4-F-8G-PK;21;"G 1/2"" внутр."
7532096;NV4-F-8G-PK;38;V15D-F-8G-PK-BH
7532096;NV4-F-8G-PK;39;V15D-F-8G-PK
7532096;NV4-F-8G-PK;71;"от -54&#176;C до 232&#176;C"
7532096;NV4-F-8G-PK;82;PEEK
7532096;NV4-F-8G-PK;83;V
7532096;NV4-F-8G-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532096;NV4-F-8G-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532096;NV4-F-8G-PK;96;V-образная (стандарт)
7532096;NV4-F-8G-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532096;NV4-F-8G-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532096;NV4-F-8G-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532097;NV4-F-12G-PK;6;assets/images/NV_F_s100.jpg
7532097;NV4-F-12G-PK;16;"G 3/4"""
7532097;NV4-F-12G-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532097;NV4-F-12G-PK;18;"{""18"":""1,8"",""25"":""9,5""}"
7532097;NV4-F-12G-PK;21;"G 3/4"" внутр."
7532097;NV4-F-12G-PK;38;V15D-F-12G-PK-BH
7532097;NV4-F-12G-PK;39;V15D-F-12G-PK
7532097;NV4-F-12G-PK;71;"от -54&#176;C до 232&#176;C"
7532097;NV4-F-12G-PK;82;PEEK
7532097;NV4-F-12G-PK;83;V
7532097;NV4-F-12G-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532097;NV4-F-12G-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532097;NV4-F-12G-PK;96;V-образная (стандарт)
7532097;NV4-F-12G-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532097;NV4-F-12G-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532097;NV4-F-12G-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532098;NV1-M-2N-PK;6;assets/images/NV_M_s100.jpg
7532098;NV1-M-2N-PK;16;"NPT 1/8"""
7532098;NV1-M-2N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532098;NV1-M-2N-PK;18;"{""18"":""0,09"",""25"":""2""}"
7532098;NV1-M-2N-PK;21;"NPT 1/8"" наруж."
7532098;NV1-M-2N-PK;38;V15A-M-2N-PK-BH
7532098;NV1-M-2N-PK;39;V15A-M-2N-PK
7532098;NV1-M-2N-PK;71;"от -54&#176;C до 232&#176;C"
7532098;NV1-M-2N-PK;82;PEEK
7532098;NV1-M-2N-PK;83;V
7532098;NV1-M-2N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532098;NV1-M-2N-PK;91;SS-OVM2-PK
7532098;NV1-M-2N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532098;NV1-M-2N-PK;96;V-образная (стандарт)
7532098;NV1-M-2N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532098;NV1-M-2N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532098;NV1-M-2N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532098;NV1-M-2N-PK;123;2M-V2B-PK-SS
7532098;NV1-M-2N-PK;126;2M-V2B-PK-SS
7532099;NV1-M-2R-PK;6;assets/images/NV_M_s100.jpg
7532099;NV1-M-2R-PK;16;"RT 1/8"""
7532099;NV1-M-2R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532099;NV1-M-2R-PK;18;"{""18"":""0,09"",""25"":""2""}"
7532099;NV1-M-2R-PK;21;"RT 1/8"" наруж."
7532099;NV1-M-2R-PK;38;V15A-M-2R-PK-BH
7532099;NV1-M-2R-PK;39;V15A-M-2R-PK
7532099;NV1-M-2R-PK;71;"от -54&#176;C до 232&#176;C"
7532099;NV1-M-2R-PK;82;PEEK
7532099;NV1-M-2R-PK;83;V
7532099;NV1-M-2R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532099;NV1-M-2R-PK;91;SS-OVM2RT-PK
7532099;NV1-M-2R-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532099;NV1-M-2R-PK;96;V-образная (стандарт)
7532099;NV1-M-2R-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532099;NV1-M-2R-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532099;NV1-M-2R-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532099;NV1-M-2R-PK;123;2KM-V2B-PK-SS
7532099;NV1-M-2R-PK;126;2KM-V2B-PK-SS
7532100;NV2-M-2N-PK;6;assets/images/NV_M_s100.jpg
7532100;NV2-M-2N-PK;16;"NPT 1/8"""
7532100;NV2-M-2N-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532100;NV2-M-2N-PK;18;"{""18"":""0,37"",""25"":""4,3""}"
7532100;NV2-M-2N-PK;21;"NPT 1/8"" наруж."
7532100;NV2-M-2N-PK;38;V15B-M-2N-PK-BH
7532100;NV2-M-2N-PK;39;V15B-M-2N-PK
7532100;NV2-M-2N-PK;71;"от -54&#176;C до 232&#176;C"
7532100;NV2-M-2N-PK;82;PEEK
7532100;NV2-M-2N-PK;83;V
7532100;NV2-M-2N-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532100;NV2-M-2N-PK;91;SS-1VM2-PK
7532100;NV2-M-2N-PK;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7532100;NV2-M-2N-PK;96;V-образная (стандарт)
7532100;NV2-M-2N-PK;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7532100;NV2-M-2N-PK;120;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532100;NV2-M-2N-PK;121;"<div class=""elemento info"" mat=""PEEK"">PEEK</div>"
7532100;NV2-M-2N-PK;123;2M-V4B-PK-SS
7532100;NV2-M-2N-PK;126;2M-V4B-PK-SS
7532101;NV2-M-2R-PK;6;assets/images/NV_M_s100.jpg
7532101;NV2-M-2R-PK;16;"RT 1/8"""
7532101;NV2-M-2R-PK;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7532101;NV2-M-2R-PK;18;"{""18"":""0,37"",""25"":""4,3""}"
7532101;NV2-M-2R-PK;21;"RT 1/8"" наруж."
7532101;NV2-M-2R-PK;38;V15B-M-2R-PK-BH
7532101;NV2-M-2R-PK;39;V15B-M-2R-PK
7532101;NV2-M-2R-PK;71;"от -54&#176;C до 232&#176;C"
7532101;NV2-M-2R-PK;82;PEEK
7532101;NV2-M-2R-PK;83;V
7532101;NV2-M-2R-PK;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7532101;NV2-M-2R-PK;91;SS-1VM2RT-PK
